ts	cpu_cores_busy	mem_used_kib	mem_avail_kib	swap_used_kib	load1	docker
2026-09-06T14:09:43	8.59	4982396	26725308	32	2.79	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=664.45%/2.184GiB / 8GiB;
2026-09-06T14:09:45	5.81	4354044	27353660	36	2.79	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=296.30%/1.677GiB / 8GiB;
2026-09-06T14:09:47	3.15	4384620	27323084	36	2.80	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=246.65%/1.679GiB / 8GiB;
2026-09-06T14:09:49	2.84	4431336	27276368	36	2.80	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=252.02%/1.72GiB / 8GiB;
2026-09-06T14:09:51	2.67	4423696	27284008	36	2.82	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=257.34%/1.718GiB / 8GiB;
2026-09-06T14:09:53	2.62	4403928	27303776	36	2.82	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=248.99%/1.719GiB / 8GiB;
2026-09-06T14:09:55	2.60	4400188	27307516	36	2.75	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=245.32%/1.753GiB / 8GiB;
2026-09-06T14:09:58	4.01	4498736	27208968	36	2.75	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=1093.91%/1.896GiB / 8GiB;
2026-09-06T14:10:00	11.95	4573092	27134612	36	2.75	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=1088.25%/1.815GiB / 8GiB;
2026-09-06T14:10:02	11.97	4696756	27010948	36	3.90	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=1092.75%/1.854GiB / 8GiB;
2026-09-06T14:10:04	11.97	4684392	27023312	36	3.90	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=1093.77%/1.857GiB / 8GiB;
2026-09-06T14:10:06	11.95	4747300	26960404	36	4.87	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=1093.47%/1.875GiB / 8GiB;
2026-09-06T14:10:08	11.97	4738564	26969140	36	4.87	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=1092.25%/1.789GiB / 8GiB;
2026-09-06T14:10:11	11.96	4747712	26959992	36	5.84	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=1094.87%/1.999GiB / 8GiB;
2026-09-06T14:10:13	11.99	5204424	26503280	36	5.84	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=1071.60%/2.86GiB / 8GiB;
2026-09-06T14:10:15	11.96	5155440	26552264	36	5.84	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=1088.93%/1.849GiB / 8GiB;
2026-09-06T14:10:17	11.95	5139404	26568300	36	7.05	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=1129.88%/1.865GiB / 8GiB;
2026-09-06T14:10:19	11.92	5006528	26701176	36	7.05	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=1189.98%/1.814GiB / 8GiB;
2026-09-06T14:10:21	11.94	4996448	26711256	36	8.01	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=1188.54%/1.918GiB / 8GiB;
2026-09-06T14:10:24	11.94	4922012	26785692	36	8.01	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=1191.62%/1.834GiB / 8GiB;
2026-09-06T14:10:26	11.95	4792308	26915396	36	8.73	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=1193.27%/1.902GiB / 8GiB;
2026-09-06T14:10:28	11.95	4713220	26994484	36	8.73	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=487.23%/1.766GiB / 8GiB;
2026-09-06T14:10:30	6.70	4659016	27048688	36	8.73	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=1190.69%/1.863GiB / 8GiB;
2026-09-06T14:10:32	11.95	4682260	27025444	36	9.39	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=1189.06%/1.858GiB / 8GiB;
2026-09-06T14:10:34	11.94	4622608	27085096	36	9.39	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=1194.41%/1.89GiB / 8GiB;
2026-09-06T14:10:37	11.96	4635892	27071812	36	9.92	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=1190.05%/1.901GiB / 8GiB;
2026-09-06T14:10:39	11.95	4669708	27037996	36	9.92	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=1076.42%/1.849GiB / 8GiB;
2026-09-06T14:10:41	8.67	4720388	26987316	36	9.45	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=237.36%/1.781GiB / 8GiB;
2026-09-06T14:10:43	3.43	4841832	26865872	36	9.45	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=217.08%/1.784GiB / 8GiB;
2026-09-06T14:10:45	2.91	4666092	27041612	36	8.85	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=213.17%/1.784GiB / 8GiB;
2026-09-06T14:10:47	2.27	4621692	27086012	36	8.85	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=212.12%/1.785GiB / 8GiB;
2026-09-06T14:10:50	2.32	4577392	27130312	36	8.85	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=213.15%/1.75GiB / 8GiB;
2026-09-06T14:10:52	2.39	4496360	27211344	36	8.30	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=212.33%/1.733GiB / 8GiB;
2026-09-06T14:10:54	2.40	4513644	27194060	36	8.30	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=216.95%/1.761GiB / 8GiB;
2026-09-06T14:10:56	2.50	4563144	27144560	36	7.80	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=154.04%/1.72GiB / 8GiB;
2026-09-06T14:10:58	1.48	4521416	27186288	36	7.80	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=123.72%/1.726GiB / 8GiB;
2026-09-06T14:11:00	1.33	4476148	27231556	36	7.25	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=135.05%/1.72GiB / 8GiB;
2026-09-06T14:11:03	1.37	4453004	27254700	36	7.25	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=143.50%/1.728GiB / 8GiB;
2026-09-06T14:11:05	1.44	4432612	27275092	36	7.25	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=128.76%/1.724GiB / 8GiB;
2026-09-06T14:11:07	1.39	4413824	27293880	36	6.83	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=120.55%/1.722GiB / 8GiB;
2026-09-06T14:11:09	1.28	4402080	27305624	36	6.83	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=117.63%/1.72GiB / 8GiB;
2026-09-06T14:11:11	1.33	4396416	27311288	36	6.36	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=132.76%/1.559GiB / 8GiB;
2026-09-06T14:11:13	1.35	4225856	27481848	36	6.36	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=123.75%/1.559GiB / 8GiB;
2026-09-06T14:11:15	1.43	4214116	27493588	36	5.93	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=111.02%/1.559GiB / 8GiB;
2026-09-06T14:11:18	1.31	4219636	27488068	36	5.93	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=109.05%/1.559GiB / 8GiB;
2026-09-06T14:11:20	1.23	4218512	27489192	36	5.93	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=109.81%/1.559GiB / 8GiB;
2026-09-06T14:11:22	1.32	4214992	27492712	36	5.54	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=117.51%/1.559GiB / 8GiB;
2026-09-06T14:11:24	1.35	4216804	27490900	36	5.54	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=163.66%/1.571GiB / 8GiB;
2026-09-06T14:11:26	1.51	4222428	27485276	36	5.25	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=122.99%/1.56GiB / 8GiB;
2026-09-06T14:11:28	1.36	4218832	27488872	36	5.25	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=111.56%/1.56GiB / 8GiB;
2026-09-06T14:11:31	1.27	4221664	27486040	36	4.91	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=114.52%/1.564GiB / 8GiB;
2026-09-06T14:11:33	1.28	4220492	27487212	36	4.91	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=111.39%/1.56GiB / 8GiB;
2026-09-06T14:11:35	1.26	4226352	27481352	36	4.91	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=111.74%/1.56GiB / 8GiB;
2026-09-06T14:11:37	1.38	4230428	27477276	36	4.60	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=111.34%/1.56GiB / 8GiB;
2026-09-06T14:11:39	1.24	4226604	27481100	36	4.60	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=112.23%/1.56GiB / 8GiB;
2026-09-06T14:11:41	1.26	4217280	27490424	36	4.31	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=112.26%/1.562GiB / 8GiB;
2026-09-06T14:11:43	1.26	4221564	27486140	36	4.31	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=115.91%/1.562GiB / 8GiB;
2026-09-06T14:11:46	1.34	4224520	27483184	36	4.13	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=131.37%/1.559GiB / 8GiB;
2026-09-06T14:11:48	1.38	4224080	27483624	36	4.13	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=111.32%/1.56GiB / 8GiB;
2026-09-06T14:11:50	1.44	4222708	27484996	36	4.13	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=131.97%/1.56GiB / 8GiB;
2026-09-06T14:11:52	1.51	4221016	27486688	36	3.88	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=151.93%/1.566GiB / 8GiB;
2026-09-06T14:11:54	1.57	4227044	27480660	36	3.88	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=129.34%/1.56GiB / 8GiB;
2026-09-06T14:11:56	1.35	4221880	27485824	36	3.64	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=110.97%/1.56GiB / 8GiB;
2026-09-06T14:11:59	1.23	4227028	27480676	36	3.64	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=112.29%/1.56GiB / 8GiB;
2026-09-06T14:12:01	1.33	4226252	27481452	36	3.43	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=112.81%/1.56GiB / 8GiB;
2026-09-06T14:12:03	1.27	4225160	27482544	36	3.43	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=109.52%/1.56GiB / 8GiB;
2026-09-06T14:12:05	1.35	4217344	27490360	36	3.43	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=110.66%/1.56GiB / 8GiB;
2026-09-06T14:12:07	1.24	4219128	27488576	36	3.24	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=109.20%/1.56GiB / 8GiB;
2026-09-06T14:12:09	1.23	4220460	27487244	36	3.24	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=108.75%/1.56GiB / 8GiB;
2026-09-06T14:12:12	1.24	4214320	27493384	36	3.06	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=112.55%/1.56GiB / 8GiB;
2026-09-06T14:12:14	1.28	4224256	27483448	36	3.06	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=114.45%/1.562GiB / 8GiB;
2026-09-06T14:12:16	1.27	4221644	27486060	36	2.89	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=113.90%/1.56GiB / 8GiB;
2026-09-06T14:12:18	1.32	4220956	27486748	36	2.89	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=110.61%/1.56GiB / 8GiB;
2026-09-06T14:12:20	1.26	4217728	27489976	36	2.89	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=111.20%/1.56GiB / 8GiB;
2026-09-06T14:12:22	1.27	4217236	27490468	36	2.74	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=107.27%/1.566GiB / 8GiB;
2026-09-06T14:12:24	1.25	4147760	27559944	36	2.74	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=107.08%/1.367GiB / 8GiB;
2026-09-06T14:12:27	1.23	4135260	27572444	36	2.60	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=130.04%/1.487GiB / 8GiB;
2026-09-06T14:12:29	1.31	4163400	27544304	36	2.60	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=140.94%/1.396GiB / 8GiB;
2026-09-06T14:12:31	1.70	4409608	27298096	36	2.39	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=130.17%/1.387GiB / 8GiB;
2026-09-06T14:12:33	1.43	4495772	27211932	36	2.39	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=119.23%/1.387GiB / 8GiB;
2026-09-06T14:12:35	1.30	4461892	27245812	36	2.39	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=104.81%/1.387GiB / 8GiB;
2026-09-06T14:12:37	1.17	4380648	27327056	36	2.36	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=105.06%/1.387GiB / 8GiB;
2026-09-06T14:12:40	1.17	4289272	27418432	36	2.36	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=105.42%/1.387GiB / 8GiB;
2026-09-06T14:12:42	1.18	4234968	27472736	36	2.25	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=104.58%/1.387GiB / 8GiB;
2026-09-06T14:12:44	1.26	4151780	27555924	36	2.25	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=104.95%/1.372GiB / 8GiB;
2026-09-06T14:12:46	1.18	4147524	27560180	36	2.23	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=105.22%/1.359GiB / 8GiB;
2026-09-06T14:12:48	1.30	4365888	27341816	36	2.23	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=106.77%/1.432GiB / 8GiB;
2026-09-06T14:12:50	1.27	4546828	27160876	36	2.13	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=121.63%/1.369GiB / 8GiB;
2026-09-06T14:12:52	1.31	4554572	27153132	36	2.13	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=112.50%/699.7MiB / 8GiB;
2026-09-06T14:12:55	1.30	3728152	27979552	36	2.13	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=114.87%/700.2MiB / 8GiB;
2026-09-06T14:12:57	1.27	3634056	28073648	36	2.12	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=113.11%/700.5MiB / 8GiB;
2026-09-06T14:12:59	1.25	3561528	28146176	36	2.12	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=114.11%/700.8MiB / 8GiB;
2026-09-06T14:13:01	1.28	3503808	28203896	36	2.11	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=116.00%/701.3MiB / 8GiB;
2026-09-06T14:13:03	1.31	3459996	28247708	36	2.11	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=115.33%/701.5MiB / 8GiB;
2026-09-06T14:13:05	1.30	3456392	28251312	36	2.18	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=20.73%/693.9MiB / 8GiB;
